Mod number,Mod name,Overview,Pre-Requisites,Co-requisites,Learning Objectives,Measureable Outcomes,Topics Covered,Textbook(s) and/or other required material,Delivery Format,Grading Scheme,Terms,Credits,Professors,Tags
20.213,Building Information Modelling,"Building Information Modeling (BIM) provides rich, machine-readable representations of proposed building designs. With BIM, it becomes practical to embed into computational tools the accumulated knowledge regarding good design and construction practices. This subject is designed to provide students with fundamental knowledge and basic practical skills of the planning and execution of Building Information Models. It is also aimed to offer opportunities for students to establish a basic understanding of those elements that impact the generation of a Building Information Model, including methods of communication, data creation, social, and economic factors between trades. Building models will be challenged with analysis software to test for various performance criteria. Learning occurs through design cases of building over 4 stories and wide span structures as a way to learn behaviours of all building systems. Students will also use visual programming skills to design parametric schematics.",20.212,,"An understanding of the critical elements affecting the physical and spatial form of a building
Building an extensive knowledge base of design and construction planning
Challenge building behaviour with analysis software
Training in operational skills and tools required to develop solutions and evaluate building models
Explore constructs of building database models as geometric objectives with associated data","Conduct team based designs of buildings including most building systems
Recognition and methods to design elements of a building model for performance based evaluation
Propose detailed components of a building design",,,"3-0-6*
*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,5,9,Jason Lim,Core
20.221,Traditions: World history connections to vernacular architecture (HTC),"This course provides a general outline of the history of architecture, urbanism and landscapes from early cultures to the present, spanning both western and non-western traditions. It is designed to develop critical tools to analyse and appreciate architecture for its role in creating the spatial environments in which we conduct our lives. Students analyse buildings and the built environment in relation to their contexts and histories of building technology. They assist in understanding and assimilating architectural terms and spatial concepts in the students’ formative years. Instruction and practice in oral and written communication formats are provided.",,,"There are three broad objectives for this module:

The accumulation and appreciation of spatial types, terminology and vocabulary.
Appreciate a broad range of architectural and urban traditions in the West and Non-West.
Acquire competency in describing and understanding building types, concepts, elements, constituent spaces as well as landscapes.
Appreciate major advancements, experiments, and progressions in the history of building technology.
Identify the characteristics of different technological epochs relevant to the creation of architectural and urban forms.
Appreciate the intellectual and technological contexts of structural and construction systems.
Encourage the linking of such technological ideas in students’ design thinking.
Understand contexts in architecture and urbanism (social, economic and political contexts etc.)
Understand the major cultural, scientific and economics contexts within which these traditions were started and developed.
Appreciate historical and theoretical texts relating to buildings and cities, including different perspectives for similar subject matter.","Presentation in written and oral form the key ideas and artefacts discussed in the lecture and sections.
Respond to extant texts regarding the buildings and cities in critical and reflexive ways.
Respond to a tour of different spaces along a theme, in Singapore.",,,"3-0-6*
*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,4,9,Daniel Joseph Whittaker,Core
20.222,Modernism: Technology and Society in Architecture (HTC),"Studies the essential interrelationships of architectural theory, history, and practice. Examines theoretical investigations not as specialised discourse relating exclusively to architectural production, but as essential and deeply relevant to diverse human social and economic activities, whether they be cultural, aesthetic, philosophical, or professional. Topics and examples are chosen from a wide range of materials and from classical antiquity to contemporary practice. Special topics relating to 21st century urbanisation, emerging economies and ecological and environmental debates will be addressed.",20.221,,"Identify and characterise the primary cultural, scientific and technological, and economic epochs and trends most relevant to the creation of our architectural and urban heritage in historical and theoretical work.
Synthesise perspectives that correlate streams of thinking from diverse intellectual and cultural traditions in relation to the architecture and urban production throughout history.
Offer questions and paths for inquiry that develop into rich discussions, specific topics for further investigation and have the potential for results from deeper research effort.","Explain the relationship between philosophical discourse and other theoretical approaches that bear relevance on the built environment (class discussion).
Demonstrate understanding of diverse streams of thought and intellectual regimes that have influenced the production of the built environment (written work).
Relate current and ongoing debate in architectural theory, history and criticism with past schools of thought (written work, discussions).
Apply the debates in environmental, ecological and economic circles with the currents in architectural history, theory and criticism (various).",,,"3.5-0-5.5*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,5,9,Yeo Kang Shua,Core
20.223,"Contemporary Architecture: Between Technology, Science and Culture (HTC Elective)","Far from isolated trajectories, new ideas, scientific discoveries, technology innovation, and aesthetic avant-gardes occur in a highly interconnected manner. Complex dynamics between architectural designs and their cultural and technological contexts attest that architecture is not fully autonomous as it serves, negates, distorts, questions and produces its context. The course analyses the development of contemporary architecture through its relationships with technological and scientific advances. The course is roughly organized in a chronological format, starting with a brief overview of the industrial revolution and the early 20th century, placing emphasis on the second half of the 20th century and the development of current digital culture in architecture.

 

Students develop an understanding of the relationships between architectural design, technology innovation and scientific ideas that led to contemporary architectural practice and theory. In this course, architectural design is placed into a broader intellectual context, which helps students not only understand the “what and how” architects do but also build perspective and framework to reflect on the “whys”.",20.222,,"After completion of this subject, students will be able to:

Identify the most salient events in architecture, science and technology in the 20th and 21st century.
Critically review the paradigmatic works and texts of architecture of the past century.
Relate technological and scientific advances with the evolution of architecture, and vice-versa.
Analyse contemporary architectural works.
Judge own architectural designs within greater theoretical and historical frameworks.","Measurable outcomes include:

Identify and explain the prominent positions in architecture and technology through careful reading of the course bibliography and writing of insightful reading responses.
Argue in support of or against positions regarding the use of technology in architectural design based on the acquired knowledge during discussion seminars.
Apply learned theoretical frameworks in the analysis of an architectural project, relating its design to the technological and cultural context through a group analysis of a case study.
Organize the learned sources as to construct an overarching understanding of the development of architecture and technology in the past century in an argumentative essay.
Articulate analysis, positions and conclusions in different media: textual (essay), graphical (analytical drawings) and physical (analytical models).",,,,,,9,,Elective
20.224,Artificial & Architectural Intelligences in Design (HTC),"Today, we are all, voluntarily or involuntarily, surrounded by objects and built environments driven by Artificial Intelligence (AI). This phenomenon has not only led to the automation of designs themselves, but more fundamentally, the automation of design cognition and the optimization of aesthetic imaginations for our cultural futures. If architects and designers are to continue in playing their roles as cultural producers, social activists and technological imaginaries, a holistic understanding of today’s AI systems is essential. Such a foundational knowledge will provide the much-needed historical and theoretical bases for critically reassessing the current nature of design processes and reframing the future culture of architecture and design. The course will begin by tracing the fascinating and intertwined genealogies of artificial intelligence and architectural intelligence from the 1960s onwards. This history will be vividly brought forth to the present with complementary readings on AI aesthetics, AI artists and other emerging AI design topics, such as adversarial-based design algorithms, post-truth redesign of visual culture, unsolicited algorithmic cultivation of collective design tastes, and the territorial politics of computer vision-based surveillances. Beyond the ‘critical writing’ of AI & Design, students will also work in groups to speculate ‘critical designs’ based on their newly acquired perspectives on the culture and nature of artificial designs. The deliverables are in the forms of design mock-ups, visual diagrams and written texts.","20.221,
20.222",,"Identify and examine key conceptions of ‘artificial design’ in the history of architecture and artificial intelligence from the mid-twentieth century to the present.
Evaluate the impact of today’s embedded AI systems on design culture and aesthetics in formulating one’s own critical design perspective.
Design and propose new architectural scenarios in response to topical AI-related societal issues.","Developing and delivering a written essay on selected paradigms of artificial design from the history of architecture and AI. (Individual work | Written Article)
Developing and delivering a visual presentation in communicating a proposed AI-focused design concept. (Team work | Mid-Review)
Constructing a scenario-based design mock-up that addresses topical AI-related societal issues. (Team work | Final Review)",,,"4-0-5*
*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,8,9,Koh Immanuel,Core
20.301,Material Computation: Advanced Topics in Geometry and Matter,"Students enrolled will gain insight into synthetic design processes and build up on the foundational skills taught in ASD core subjects including, computational geometry, computational structural analysis, experimental optimization, and digital fabrication. Students will be expected to complete a design project and a design report which demonstrates their understanding of the relationship between geometry and matter and their ability to creatively interpret analytical information.","20.202,
20.212,
20.213",,,,,,"2-2-5*
*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,,9,Jason Lim,Elective
20.302,Advanced Topics in Performative Design: Daylight and Electric Lighting,"This seminar course teaches natural and electric lighting in an architectural context. Students will learn the scientific basis of light and visual perception in order to apply them to the design of two course projects: the design and construction of an electric light fixture (luminaire) and the comprehensive lighting design of a large communal gathering space with integrated electric and daylight systems. Individual activities and lectures focus on lighting measures and metrics, calibrated high dynamic range photography, daylight simulations, material properties, visual comfort / perception, electric lighting design, lighting energy consumption, scale model building and human behaviour.",,,"By the end of this course, you will be able to:

Discuss and explain the physics of the behaviour of light
Describe the relationship between lighting design, building energy performance, human comfort, and perception
Measure lighting quantities using accurate techniques
Produce physically-based lighting simulations with a high degree of quality
Apply physical knowledge about lighting and information from lighting simulations to the design of building elements and spaces
Communicate and document a design process using lighting information via verbal, written and visual means","Measure the lighting levels, material reflectances and geometry of the classroom, and produce a lighting simulation model. [LOs 3, 4]
Quantitatively compare the differences between simulation results and reality from MO 1, explaining why the differences occur. [LO 1]
Produce two case study analyses and two design projects that use lighting measurements and simulations to evaluate existing designs and inform the design process. Assignments will have a written and a visual component. [LOs 4, 5, 6]
Estimate the lighting qualities of the resulting project designs using scale models and physically- based simulations [LOs 3, 4]
Present the design projects and case studies during class recitation sessions. Describe the quantities, perception, energy use, and the physical distribution of the lighting design. [LOs 1,2, 5, 6]
Contribute through input and comments in class discussions and recitation sessions. Explain how lighting effects in example architectural projects and the course projects are achieved. [LOs 1, 2]",,,"4-0-5*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,,9,Daniel Joseph Whittaker,Elective
20.304,Urban Housing Typologies,"The ‘Urban Housing Typology’ seminar will discuss the complex nature of urban contexts as places to formulate human habitation. Investigating the interdependencies evolving between a building’s entity and its urban territory students will speculate how strategies for urban building types have contributed in the past and can contribute in the future to urban development.

 

Participants will understand the relevance of housing typology research and the potentials of designer’s repositories of known housing precedents as design expertise. Having gained a clear understanding of concepts like ‘type’ and ‘typology’ students will analyse both contemporary and historical housing precedents of building types like Block Enclosure, Urban Infill, Solitaire, Superblock, Apartment Tower, Residential Estate and Urban Row Houses. With these building types as typically evolving within and due to specific contextual conditions the investigations will make essential connections to a building’s territory, its urban type, its historical and economical context, its density and programs.

 

Beyond discussing precedents as a typological knowledge on merely immutable built physical forms the course will also investigate the potential of operational building strategies like incrementalism, usage flexibility and neutrality, and user participation for sustainable urban communities. Both autochthonous building types and contemporary precedents with a particular focus on sustainable building performance will be another focus.","20.101,
20.102,
20.221,
20.222",,"By the end of this course, you will be able to:

Explain the terminologies and concepts of ‘type’ and ‘typology’ and their development in practice and theory.
Identify and explain how geographic, cultural and economic conditions of urban territories have influenced forms of habitation and the evolution of housing types.
Develop critical thinking skills on relevant parameters for investigating housing precedents through the formulation of a precise roadmap for case-studies.
Apply techniques for a systematic analysis and interpretation of architectural precedents.
Analyse the impact that operational strategies and performance criteria have on the formation of housing types and how they can contribute to sustainable design approaches.","Comprehend and effectively apply knowledge on ‘type’ and ‘typology’ gained from theoretical sources and case-studies, as shown in written thesis and class participation.
Recognize the impact specific historical, cultural and economic conditions of urban contexts have on the evolution of housing types, as shown in written thesis and class participation.
Develop and deliver a written, graphic and oral presentation of housing case-studies following a predetermined template.
Describe orally how operating with design precedents can be an essential expertise for both research and design practice within the architectural domain",,,"4-0-5*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,,9,,Elective
20.305,Conversation Theories and Approaches of Built Heritage,"This course will acquaint participants with the discipline of architectural conservation, its origins, developments and inherent contradictions. The course will cover the range of scales of conservation, from the smallest denominator of artefact conservation to large-scale urban conservation. Students will be better positioned to appreciate and approach the question of conservation/preservation versus development/demolition and better prepared to understand the process, techniques, standards, and other considerations that define a high quality conservation effort upon the completion of the course. Case-studies in Singapore and the region will be introduced.

 

Throughout the elective, we will be discussing the following:

Philosophical Issues
Theoretical and Legal Framework
Deterioration and Conservation
Methodology of Architectural Conservation
Context
Case-Studies in the Region",20.222,,"By the end of this course, you will be able to:

Recognise and appreciate the range/spectrum of conservation, i.e. macro to micro or from built form to artefact
Explain key theoretical aspects of built heritage and its conservation as well as the application of relevant philosophies and international charters on practices, especially those related to
Singapore and the region
Synthesize conservation approaches related to different types of the built form and its management
Develop decision-making methodology in conservation intervention","Explain and apply conservation principles knowledge to case-studies
Interpret the impact of specific historical, cultural and economic conditions in different contexts has on the understanding and application of conservation principles
Describe conservation in the Asian context as an emerging discipline
Formulate and evaluate new design challenges when responding to historic buildings
Appraise and deliver a written, oral and/or graphic presentation of an architectural conservation case study",,,"3-0-9*
*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,,9,Yeo Kang Shua,Elective
20.307,Toward Carbon-Neutral Architecture and Urban Design,"The course is intended to give students enrolled a working understanding of how to design, construct, and operate sustainable architecture and urban design developments and projects toward achieving carbon neutral on all aspects. Students will develop an understanding of a building’s relationship to its site’s natural systems; the building enclosure’s ability to mitigate outdoor conditions; passive systems for conditioning and lighting; mechanical heating, cooling and ventilation strategies; lighting and daylighting opportunities; site and building water cycles; and health and well-being, and advanced building and environmental system simulation through a series of lectures and workshops.

 

Case studies will be introduced based on the lecture themes. Topics are discussed based on the physical laws that govern the exchange of energy between building and environment and how they relate to human comfort. The ability and confidence in making both quantitative and qualitative statements about building performance will help students in integrating these considerations into their future architecture and urban design work. Ultimately students will be able to understand the impact of their design decisions on building performance in order to mitigate the carbon footprint.

 

Workshops throughout the semester will be a series of design exercise and environmental design studies as well as calculations, which will serve as supporting documents for the final carbon-neutral project at the end of the semester.",20.203,,,,,,,,,9,Zheng Kai,Elective
20.312,Social Architecture: Theory and Practice,"This course aims to equip the students with theoretical/historical knowledge of ‘Social Architecture’ as well as practical skills for practicing it. Students will be exposed to key concepts, methods and goals developed in social architecture, an umbrella term that includes community architecture and planning, community design, social design, democratic design, community development, etc. which share a common approach of environmental design that encourages social behaviours leading towards certain public benefits, such as liveability, safety, and sustainability. Through case studies, fieldworks and hands-on workshops, students will learn the various design processes that often involve the members of community, and how these strategies could be applied in their own design projects. The first half of the course will introduce students to theories and methods; while the second half will explore various topics under which social architecture is currently being practiced.",,,"By the end of this course, you will be able to:

Recognize key design theories that associate physical environment with social behaviours and explain their significance in practice.
Identify and apply appropriate methods and/or techniques in formulating strategies for asset mapping, predictive analysis, and community design development.
Develop hands-on capabilities in the planning, organization, and facilitation of participatory workshop.","Develop a concise statement of social issue and investigation brief in relation to M.Arch./Capstone design project.
Critically assess previous projects in terms of strategies, methods and techniques through case studies.
Develop and conduct community analysis and/or participatory design, documented through field notes.
Develop and deliver a written report that summarizes the development of design project including evaluation of participatory process and how the design project could move forward.",,,"4-0-5*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,7,9,Chong Keng Hua,Elective
20.313,Advanced Topics in Performative Design: Urban Sustainability,"This seminar course teaches methods for the design and analysis of sustainable urban neighbourhoods and cities. Subtopics within this field that students will learn about include: walkability, outdoor thermal comfort, urban daylight potential, neighbourhood and building energy utilization, embodied energy, photovoltaic energy potential, and cogeneration systems. Large teams of 5-6 students will work in a role mimicking that of designers and consultants where they must work together to bring their own specialised interests together in the design of a sustainable neighbourhood. The course will be evaluated based upon 5 combined laboratory and homework exercises, a case-study analysis, and the completion of a final design project.",,,,,,,,,,9,,Elective
20.314,Paradigms of Adaptation,"This seminar focuses of the paradigms of adaptation in the field of architecture and urbanism today. The course will introduce to students the various scales and challenges in adaptation from visionary proposals to actual built projects. Through a series of comparative case studies in Singapore and overseas, the course will equip students with a critical overview of the challenges and opportunities of adaptation within our built environment.

 

Given the lack of a unified theory of adaptation, the seminar group will embark on a journey, attempting to formulate a theory or a position towards adaptation through architectural typologies and the prevailing socio-economic paradigm, which include: culture, informal, shrinking, landscape, resilience, etc.",20.222,,"By the end of this course, you will be able to:

Recognise and appreciate the range and spectrum of adaptation projects, from the singular building to urban territory.
Explain and apply key theoretical concepts of adaptation of existing urban stock within local and regional context.
Synthetize approaches to adaptation projects relating to different types of built form and its social, economic and political context.
Develop decision-making methodologies in adaptation projects.","Explain and apply adaptation principles and knowledge to case-studies.
Interpret the impact of social, political and economic conditions in different contexts has on the understanding and application of adaptation principles.
Describe adaptation as an emerging global discipline.
Analyse methodologically how adaptation principles are utilized for each case-study.
Formulate and evaluate design challenges when working with existing context within built and natural environments.
Appraise and deliver a written, oral and graphic presentation of an architectural and urban case study on adaptation.",,,"4-0-5*
*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,,9,,Elective
20.316,Digital Biometrics: Sustainable Materials and Manufacturing,"The course is a cross-disciplinary collaboration between Architecture and Sustainable Design and Engineering Product Development. It brings together material science and digital fabrication, fusing natural composites with industrial robotics, aiming to produce innovation in the realm of sustainable design and manufacturing. It suggests that designs inspired by biological processes found in nature, may assist in transforming society toward a more environmentally benign mode of production from the ground up. This process starts from the understanding of the principles behind structural biological systems and the development of tools embracing the paradigm imposed by nature instead of those predefined by the existing manufacturing technologies. As a research and design course, students are required to develop their own proposals, methods and artefact which may lead to publication of results in journals and conferences.","20.212,
30.001,
30.007",,"After successful completion of the subject students will be able to:

Students will review and analyse (a) the fundamental principles of biological materials and ecological cycles and (b) the design principles of industrial robotics for digital manufacturing.
Students will acquire and apply skills for research work including developing proposals, performing literature review, formulating research questions, collecting evidence, formally presenting results.
Students will design and demonstrate bioinspired processes integrating materials and fabrication, towards the development of sustainable design of products and processes.","Composition of a publication-ready research draft paper that clearly presents the (i) design objectives, (ii) relevant work, (iii) processes and methods used, (iv) prototypes produced, (v) future applications and contributions to the field of bioinspired design and digital fabrication.
Demonstration of A functional proof of concept process and experimental design prototypes evidencing (i) creative and innovative thinking and (ii) integration of technical and aesthetic sophistication competitive with state of the art work in the field.",,,"Workload: 1-3-5* (ASD) + 2-3-7* (EPD)

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,,9,"Stylianos Dritsas (ASD),
Javier G. Fernandez (EPD)",Elective
20.317,Augmented Design,"Augmented Reality has crossed a significant threshold in its development with the recent introduction of hardware and programming kits such as the HoloLens and ARCore / ARKit respectively. It is now more accessible to end-users who may wish to adopt this technology for their specific domain purposes. The moment is ripe for architects, who comprise one such group of end-users, to explore the potentials of AR and critically evaluate where it can be used to enhance established workflows.

 

If AR does indeed have the potential to disrupt how architecture is currently conceived, represented and materialized, then it would be critical to expose students to such technology. This elective course will furnish students with conceptual and technical knowledge, enabling them to explore how AR can be utilized at various stages of the design to production process. Furthermore, it will build upon topics introduced earlier in the core syllabus relating to computation and fabrication.

 

The objective of this course is to ensure students become adroit users of AR, as well as to contribute and possibly shape the nascent discourse around this technology in the architectural domain.",20.212,,"Gain the technical ability to develop augmented reality apps using a VR engine
Apply this knowledge to create apps that augment representational architectural models and architectural spaces
Gain the technical ability to use an AR headset to aid in the fabrication of a design artefact","Develop a working AR app for tablet device and demonstrate its use to augment i) a physical model and ii) a physical space with additional information
Plan the assembly process and successfully construct a geometrically complex design artefact with the aid of the AR headset
Deliver an oral and visual presentation, together with a written report, suitable for a professional audience, which describes the key aspects of their assignment results.",,,"2-2-5*
*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,,9,Jason Lim,Elective
20.318,Creative Machine Learning,"The course provides an overview of today’s machine learning apparatus for generative design and in turn speculates on the ways in which architectural design process itself might be altered as a result of this epistemological shift towards a ‘Software 2.0’ paradigm. By situating the discourse within an experimental prototyping context, students will not only gain the practical experience of applied machine learning workflow, but more importantly the architectural sensibility to conceptualize, articulate and implement their design applications in relation to these state-of-the-art Artificial Intelligence (AI) tools. Students are expected to work in small groups, curating and preparing the dataset; selecting and training the machine learning model; and finally generating designs from the learnt data distribution. The deliverables are in the forms of a design prototype and a written report, which could be used for future exhibition and publications.",,,"Obtain an overview of current state-of-the-art applied machine learning models used in generative design and be able to identify their similarities and differences, as well as, strengths and weaknesses.
Acquire a basic understanding of the inner working of deep neural networks and how to train them for specific design purposes.
Acquire the critical skills in selecting the appropriate machine learning architecture and the technical skills in modifying them as part of an integrated design workflow.
Gain experience on the process of data collection, cleaning and encoding in a machine learning project using structured or unstructured design dataset.
Formulate architectural design solutions by creatively incorporating data-driven and machine learning approaches.","Construct prototypes that creatively and strategically integrate machine learning techniques for design generations or design predictions.
Develop and deliver a design report that clearly addresses its design intention, articulates its design methodologies, illustrates its design prototype, and reimagines its future design applications.
Develop and deliver an oral and visual presentation, suitable for a professional audience that describes the key aspects of the project from concept to end results.",,,"4-0-5*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,6,9,Koh Immanuel,Core
20.319,Architectural theory and Design Application in 20th-21st Century,"The process upon which contemporary twentieth and twenty-first century-architects design, draw, write, and build is the focus of this course. The concomitant discourse amongst critics, the resulting scholarly critique, and the written design statement is a reflection of a complex set of values, hierarchies, and judgement criteria. This course’s goal is to deconstruct the embedded and often at times hidden sets of values that influence the creation of architecture and govern its design, construction, production, use, and occasional demise. Students will emerge from this course with a thorough understanding of modern canonical design philosophies in conjunction with a more concise understanding of what forces govern the growth and development of their nascent design ethos.",,,"By the end of this course, you will be able to:

Understand the concepts supporting contemporary critical architectural theories;
Apply contemporary criteria to analyse movements in the past eighty years of architectural theory;
Evaluate the validity of criticisms on architectural and urban movements.","Express in both writing and verbal discussion, forces behind major architectural movements.
Present in writing, verbal and organized imagery, specific recent architectural theory periods, and associated critical evaluations.
Conduct self-evaluations of cultural, societal, and commercial influences upon the development of one’s architectural design governors.",,,"3.5-0-5.5*
*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study",,6,9,Daniel Joseph Whittaker,Core
20.320,Project Management in the Built Environment,"Project Management is a course set in the context of Singapore’s Building Construction industry. It covers management topics necessary to bring about the successful completion of building projects, including scheduling, resource allocation, risk assessment, budgeting, and cost planning, with emphasis on sustainable design and construction. Project management aims at understanding fundamental principles, modelling methods, and tools, as well as the best practices employed in the industry today. As a management course, students are required to work individually but also in groups to practice their management skills.

 

The class is conducted as a project-based module and there will be no formal exams. Lectures are conducted weekly for students to understand the key principles and how to apply them practically, looking at different case studies. Assignments entail different project management knowledge areas that are eventually compiled into a group report to demonstrate the group’s ability to manage a building project comprehensively.","20.201,
20.202",,"After successful completion of the subject, students will be able to:

Understand project management concepts, methods, and practices and how they are employed in the architecture, engineering, and construction industry.
Perform project management analysis to collect quantitative and qualitative building project performance indicators.
Assess the impact of project management decisions against a project’s feasibility, constructability, and sustainability characteristics.
Propose strategies for managing a building project, considering controllable and uncontrollable design factors.","Demonstrate comprehension of project management theory though literature review and case study of built precedents.
Apply technical, econometric, environmental assessments and communication techniques to extract and present project management metrics.
Synthesize costs and benefits and develop decision support matrices outlining design trade-offs and feasible design regions.
Create and present a design proposal for a green building project, while optimizing critical project management criteria.",,,"2-2-5*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,,9,Zheng Kai,Elective
20.321,Architecture Acoustics,"This course introduces architectural and urban acoustics by emphasizing the importance of space shaping, material selection, indoor and outdoor sound planning for enhancing our aural experiences. Topics of this course will include the fundamentals of sound and hearing, the acoustic properties of materials, room acoustics, and urban sound planning. The course is integrated with a series of lectures, reading assignments, acoustic measurements, and field trips to performing spaces. Throughout this course, students will gain the knowledge to evaluate acoustic conditions of spaces and to design indoor and outdoor environments with sound in mind.","20.201,
20.202",,"Explain the basic principles and contemporary theories of architectural and urban acoustics.
Measure and analyse indicators describing acoustic characteristics of indoor and outdoor spaces.
Evaluate spatial acoustic qualities based on human comfort acoustic analysis.
Propose acoustic design strategies that improve the performance of architectural space.","Apply theoretical understanding of basic principles of acoustic design through literature review and case study analysis of architectural precedents.
Perform experimental measurement of acoustic conditions of the spaces using acoustic equipment and calculate acoustic indicators.
Assess quantitatively and qualitatively the acoustic performance of existing spaces through interpretation and evaluation of measured indicators.
Develop design options using acoustic simulation methodology to enhance the acoustic performance of architectural spaces.",,,"3-0-9*
*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,,12,,Elective
20.322,Net Zero Design: Case Studies for Whole Life Decarbonisation,"The course provides a cross-disciplinary overview of methods to assess and design Net Zero buildings, products, and systems in the context of global climate change. The course is a cross-disciplinary collaboration between Architecture and Sustainable Design and Engineering Product Development. The course investigates contemporary definitions of Net Zero Carbon and argues for the necessity of Whole Life Carbon assessment and design. An understanding of contemporary assessment methods is provided through study of the GHG Protocol, explicating the three scopes of carbon emissions, in concert with critically examined case studies of Net Zero buildings, products and systems.

 

The course prioritizes preventing carbon emissions before they take place as part of the whole life carbon position, through lectures on impact assessment, design/process optimization. Additionally, an overview of contemporary work on carbon cycle, carbon management, carbon offsets and credits including carbon capture and sequestration provides a fuller picture to students of how Net Zero carbon may be attained.

 

Students apply critical thinking and their disciplinary expertise to developing case study reports on a product, building or system of their choice and how it may be converted to Net Zero whole life carbon. Additional creative activities with lifecycle assessment, systems thinking, and games provide students with understanding and tools to supplement the case study with projections or scenarios. The final written report may be used for future sharing in educational context or in the context of conferences, publications.",,,"Students will develop critical understanding of the whole-life carbon definition of Net Zero and apply it to design case studies.
Students will acquire a basic understanding of carbon assessment methods for products, buildings and systems.
Students will develop critical understanding of carbon offsetting and how it is incorporated in Net Zero strategies for buildings, products and systems.
Students will apply design principles to converting a case-study building, product or system to Net Zero.","Developing and delivering a case study report that clearly addresses challenges to reaching Net Zero, possible methods of achieving Net Zero, and a well-argued proposal for achieving Net Zero given realistic constraints of time, budget, and existing technologies.
Combining design thinking with basic assessment and scenario building techniques to describe sequential steps for achieving net zero in a case study.
Developing and delivering an oral and visual presentation, suitable for a professional audience that describes the key aspects of the project from concept to end results.",,,"2-3-4*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,,9,Frederick Peter Ortner,Elective
