Mod number,Mod name,Overview,Pre-Requisites,Co-requisites,Learning Objectives,Measureable Outcomes,Topics Covered,Textbook(s) and/or other required material,Delivery Format,Grading Scheme,Terms,Credits,Professors,Tags
50.017,Graphics and Visualisation,"Introduction to computer graphics algorithms, software and hardware. Topics include ray tracing, the graphics pipeline, transformations, texture mapping, shadows, sampling, global illumination, splines, animation, colour, fundamentals of virtual and augmented reality (VR and AR).

 

In this course, we will concentrate on 3D, not 2D illustration or image processing. You will learn:

Fundamentals of computer graphics algorithms
Basics of real-time rendering and graphics hardware
Basic OpenGL
C/C++ programming experience
How to write efficient programs
Algorithms that can help in Machine Learning (e.g. KDTree)",50.003,,"Understand the fundamentals of computer graphics algorithms

Implement graphics algorithms for a variety of applications: video games, movies, CAD, etc.
Understand the different requirements of different applications.
Understand the basics of real-time rendering and graphics hardware.
Use C/C++ and OpenGL programming to build 3D graphics applications.","Understand key topics related to computer graphics:

Coordinate transformations
Bezier curves and splines
Representation and interpolation of rotations
Computer animation
Particle systems
Collision detection
Ray Tracing
Rasterization and Shading
Texture mapping
Global illumination approaches","Bezier Curve
Curve and Surface
Coordinates & Transformations
Hierarchical Modelling
Animation Basics
Particle Systems
Cloth Simulation & Mass Spring
Ray Casting
Ray Tracing
Ray Tracing Acceleration
Shading
Texture Mapping
Antialiasing
Global Illumination
Displays and Fabrication
Rasterization
Graphics Hardware
Latest Research in Graphics","No textbook required. Recommended books are listed below.

Alan Watt, 3D Computer Graphics, 3rd ed. Boston, MA: Addison-Wesley, 1999.
Samuel R. Buss, 3D Computer Graphics: A Mathematical Introduction with OpenGL, 1st ed. Cambridge, UK: Cambridge University Press, 2003.
Akenine-Möller et al., Real-Time Rendering, 3rd ed. Natick, MA: A K Peters/CRC Press, 2008.
Peter Shirley et al., Fundamentals of Computer Graphics, 3rd ed. Natick, MA: A K Peters/CRC Press, 2009.",,,"6,8",12,Song Peng,Elective
50.020,Network Security,"This course covers theory and practice of network security. Starting with general introduction of network security, this course focuses on Internet security. The first part addresses common security issues and countermeasures at each of the five layers from the TCP/IP protocol stack. Subsequently, Firewall and Intrusion Detection/ Prevention System are covered as two of the most common tools/technologies to protect a network. Finally, the course ends with special topics such as wireless network security, IoT security, etc.",50.042,,"Explain common attacks and countermeasures in a networked system, particularly on the commonly used network protocols.
Model, analyse and apply effective countermeasures for secure networked systems.
Apply layered defense technologies to a secure network design.
Design and optimise network design for given problem settings.
Evaluate the security of an existing network design.","By the end of the course, students will be able to:

Description of the fundamental concepts of network security, through proper threat modeling and security goal definition in a design project.
Application of security countermeasures to design a secure networked system.
Applications of security countermeasures to mitigate common attacks by demonstrating security level improvement of a vulnerable networked system.
Application of layered defense technologies/tools and practical considerations for securing a complex network in a design project.
Security assessment and optimisation of a given networked system through an experimental project.
Demonstration of common attacks fro common network protocols, through successful packet sniffing and editing in a laboratory environment.","Network protocol and the OSI model
Packet sniffing and spoofing
TCP protocol and attacks
DNS protocol and attacks
Public key infrastructure and TLS protocol
Firewall and intrusion detection systems
VPN
Web security
Wireless security
Security economy","No textbook required. Recommended books are listed below.

Ross Anderson, Security Engineering : A Guide to Building Dependable Distributed Systems, 2nd ed. Hoboken, NJ: John Wiley & Sons, 2008.
Christof Paar and Jan Pelzl. Springer, Understanding Cryptography: A Textbook for Students and Practitioners, 1st ed. New York, NY: Springer, 2010.",,,7,12,Daisuke Mashima,Elective
50.021,Artificial Intelligence,"Artificial intelligence (AI) is a rich field spanning formal systems for representing and processing symbolic information, computational models of human cognition, and a range of techniques for learning, planning and reasoning under uncertainty. In this course, students will gain an appreciation of what “artificial intelligence” means, and how it can be usefully applied to real-world problems. Students will learn the intricacies of state-space search and constraint programming. Through an in-depth treatment of knowledge representation via propositional and first-order logic, students will understand how expert knowledge can be fed into and be processed by modern computers. In addition, students will acquire skills in using planning algorithms to find solutions to optimization problems, and understand how to use probabilistic reasoning to draw inferences in uncertain environments.","50.007 OR 40.319
10.022
10.025",,"By the end of the course, students will be able to:

Define the meaning of “artificial intelligence”.
Name examples of AI that are successful in real-world problems.
Describe the strengths and limitations of various state-space search algorithms, and choose the appropriate algorithm for a problem.
Formulate and solve problems in the framework of constraint satisfaction problems.
Formulate and solve planning problems.
Use probabilistic modelling techniques to solve problems with noise, incomplete information, and uncertainty.
Summarise the essential components of gradient-based optimization in supervised learning problems
Explain the impact of stepsizes in gradient-based optimization
Recognise the difference between batch and stochastic/mini-batch gradient descent and apply improved weight update methods such as momentum term, RMSProp and Adam.
Be able to apply the training and running of trained neural networks in Pytorch
Be able to investigate the impact of essential parameters such as stepsize, batchsize and training iterations when training a neural network
Discuss the usage of different neural network structures such as fully connected, convolutional and pooling layers
Be able to recall state of the art neural network components such as batch normalization layers and residual connections
Be able to recall the basic ideas behind neural networks used for machine translation and sequence to sequence learning.
Be able to construct input samples that are able to fool neural networks
Explain the difference between training from scratch and finetuning, be able to run finetuning of neural networks.vvvvvvvvv","List current useful real-world applications of AI.
Implement state-space search algorithms for a variety of problems.
Solve constraint programming problems.
Infer new information from provided knowledge.
Use planning algorithms to find optimal solutions.
Solve problems with noise and uncertainty using probabilistic techniques.","Introduction to Artificial Intelligence
Search
Adversarial Search
Constraint Satisfaction
Logic
Planning","Stuart Russell and Peter Norvig, Artificial Intelligence: A Modern Approach, 3rd ed. New York, NY: Prentice Hall, 2009.",,,"6,8",12,"Lim Kwan Hui,
Prof Ezekiel Soremekun",Elective
50.033,Foundations of Game Design and Development,"This is an introductory course about the basic of game creation. This course provides an overview of different aspects of game development. Student will get in touch with C# Programming (industry standard), starting with console application, then GUI games on various platform with graphics, dialog boxes, and user control. There are also basic overview of topics including game architecture, interface design, graphics for game, audio for game, prototyping and play testing. Students will be able to implement their creative gaming idea by using the latest gaming tools which are easy and readily usable.”","50.001,
50.004",,"Apply fundamental game design concepts, including mechanics, dynamics, and aesthetics, to create engaging and balanced games.
Develop skills in rapid prototyping, playtesting, and iterative design to enhance gameplay and user experience.
Gain proficiency in using game development tools and technologies, such as game engines and scripting languages, to build functional games.
Demonstrate effective collaboration and project management techniques to work successfully in teams and complete game development projects.
Develop the ability to critically analyze and evaluate games to understand the elements of successful game design and apply these insights to their own projects.","Students will produce simple games with novel ideas, demonstrating their understanding and application of game design principles.
Students will create and refine game prototypes through multiple iterations, incorporating feedback from playtesting sessions.
Students will use code libraries and game engines (Unity) to quickly create and deploy runnable game projects.
Students will demonstrate successful teamwork and project management by completing a collaborative game development project within set deadlines.
Students will perform critical analyses of existing games and present evaluations that identify key elements of successful game design, applying these insights to their own game projects.","Formal elements of game
Basics of game design: genres, core mechanics, player empathy, and feedback
Story Telling, story elements, traditional story structure, nonlinear and collaborative storytelling
Interactivity modes, balance, and economies
Level design in video games
Video game interface
Behavioral design and exploration of player motivation
Game polishing
Unity basic: introductory knowledge, basic game feedback and asset management, utilising the Physics engine
Intermediate Unity features: audio and scene managements, animation, input management
Advanced Unity Programming: object persistence, state management, game architecture","No textbook required. Recommended books are listed below.

Jebediah Pavleas  et al.,  Learn 2D Game Development with C#, 1st ed. New York, NY: Apress, 2013.
Daniel Schuller, C# Game Programming: For Serious Game Creation, 1st ed. Independence, KY: Cengage, 2010.
James M. Van Verth et al., Essential Mathematics for Games and Interactive Applications: A Programmer’s Guide, 2nd ed. San Francisco, CA: Morgan Kaufmann, 2008.
David M Bourg and Bryan Bywalec, Physics for Game Developers: Science, math, and code for realistic effects, 2nd ed. North Sebastopol, CA: O’Reilly Media, 2013.",,,7,12,Natalie Agus,Elective
50.035,Computer Vision,"This is an advanced undergraduate level course on the concepts, algorithms and system design in computer vision. The particular focus in this course is on the underlying computational/mathematical principles, and data-driven and neural networks (aka “deep learning”) approaches. The course introduces different computer vision tasks such as image/video classification, localization, detection, among others, and discusses different computational algorithms for these tasks, including recently proposed deep learning methods: convolutional neural networks (CNN), recurrent neural networks (RNN), long short-term memory (LSTM), Generative Adversarial Networks (GAN), etc. Students will learn to design, implement, train and debug their own systems and neural networks, and gain understanding of, and the skills to use, cutting-edge technologies in computer vision. A semester-long, 1-D design project requires students to design, implement, and train multi-million parameter neural networks to address real-world computer vision problems.",50.007 OR 40.319,,"List useful real-world applications of computer vision
Apply and design computer vision systems and algorithms
Evaluate appropriate computer vision algorithms for a variety of problems","Design image convolution and filtering using OpenCV [LO 1,2]
Design image recognition system using data driven approach and linear classification [LO 2]
Design convolutional neural networks using TensorFlow [LO 2]
Develop the training of convolutional neural networks using back-propagation and stochastic gradient descent [LO 2]
Design image recognition system using convolutional neural networks [LO 1,2,3]
Develop the training of convolutional neural networks using GPU programming [LO 2]
Design convolutional neural networks using dropout and batch normalization [LO 2]
Design image segmentation systems using convolutional neural networks [LO 1,2,3]
Design object detection and localization systems using convolutional neural networks [LO 1,2,3]
Design video activity recognition systems using recurrent neural networks [LO 1,2,3]
Develop the training of LSTM using TensorFlow [LO 2]","Image, Filtering, Convolution
Image Histogram
Image classification, data-driven approach, knn
Linear Classifier
Gradient Descent
Deep Learning
Convolutional Neural Network
CNN Architectures
Back Propagation
Regularization
Object detection and segmentation
Advanced gradient descent
Generative Adversarial Networks (GAN)
Improved GAN and Applications",,,,"6,8",12,Cheung Ngai-Man (Man),Elective
50.037,Blockchain Technology,"This course will not be offered in Fall 2025. 

 

Decentralized blockchain-based systems, such as Bitcoin and Ethereum, are successful beyond all expectations. Although still in their infancy, they promise to revolutionize how we think of financial, information, and other infrastructures. This course covers the technical aspects of public distributed ledgers, blockchain systems, cryptocurrencies, and smart contracts. Students will learn how these systems are built, how to interact with them, how to design and build secure distributed applications.","50.004, 50.005",,"By the end of the course, students will be able to

Understand how blockchain systems (mainly Bitcoin and Ethereum) work,
To securely interact with them,
Design, build, and deploy smart contracts and distributed applications,
Integrate ideas from blockchain technology into their own projects.","Explain design principles of Bitcoin and Ethereum.
Explain Nakamoto consensus.
Explain the Simplified Payment Verification protocol.
List and describe differences between proof-of-work and proof-of-stake consensus.
Interact with a blockchain system by sending and reading transactions.
Design, build, and deploy a distributed application.
Evaluate security, privacy, and efficiency of a given blockchain system.","Intro to Cryptographic Tools
Distributed Systems and Consensus
Bitcoin Basics
Bitcoin Mechanisms
Ethereum
Smart Contracts
Anonymity and Privacy of Blockchain
Miscellaneous topics of Blockchain",,,,7,12,,Elective
50.038,Computational Data Science,"This course provides students the necessary background and experience in data science technology and concepts. Students will gain experience with tackling a complete data science project, from data gathering and pre-processing to data analysis through machine learning tools. Students will learn to apply fundamental concepts in machine learning to data storage and distributed processing as a foundation for their project.",10.025,,"Be aware of the main goals of data science, its main application domains and current challenges.
Apply tools to build basic models for solving typical data analytics problems.
Visualise the structure of big data in order to uncover hidden patterns.
Design and implement distributed database systems for managing heterogeneous data.
Perform basic operations on a moderately complex distributed computation system, such as Spark.
Explain the fundamentals of statistical machine learning and deep learning.
Appreciate the technical skills necessary to be a capable data scientist.","Identify important concepts and current challenges in data science.
Design feature representations for image, text and time series data.
Analyse data and build simple models in tools such as Weka, Python and Tableau.
Implement distributed computation model using Spark.
Evaluate the performance of different models using empirical benchmarks.
Mathematically explain common machine learning models such as SVMs, logistic regression systems and neutral networks.
Implement machine learning algorithms using software such as R, C++ and PyTorch.
Manage big data using Hadoop and MapReduce.","Intro DS and Hadoop
Features + Text
Visualisation
Regression and Time Series
Classification
Into to Deep Learning
Word2vec
Digital Media (CNN)
RNN
Negative Sampling, Attention Mechanism, 1D Convolution and Pre-trained Feature Extraction",,,,"6,8",12,Dorien Herremans,Elective
50.039,Theory and Practice of Deep Learning,"The primary aim of this course is to equip students with a comprehensive understanding of the mathematical foundations and practical implementations of deep learning for various modalities like vision, text, reinforcement learning, and multimodal combinations. Deep learning, in the context of this course, pertains to the training and application of neural networks as prediction models for various scenarios.
The course intends to train students from the ground up, starting from Linear Regression models, to advanced architectures similar to Large Language Models/ChatGPT. In that sense, the course provides an extensive description of the different research directions in Deep Learning and includes practical coding aspects, touching upon essential areas such as data loading, training, parameter tuning, and performance evaluation.

This course serves as a good introduction for more advanced AI courses, such as 50.035 Computer Vision and 50.040 Natural Language Processing.",50.007 OR 40.319,,"Upon successful completion of this course, students will be able to:

Grasp the concept of learning from data, generalization, and overfitting.
Explain the decision boundary of a linear neuron in the context of a general vector space.
Understand the application of backpropagation.
Understand the different predictors and suitable loss functions for different prediction problems.
Understand the fundamentals of convolutional neural networks, and their uses for simple computer vision tasks.
Explain data augmentation methods.
Understand the fundamentals of recurrent neural networks, and their uses for sequential data, such as time series or text.
Gain insights into Natural Language Processing (NLP), transformers, and their role in language understanding and generation.
Understand the implementation and use of the PyTorch framework for data loading, training, and performance evaluation of deep neural networks.
Construct custom datasets for images, sequential data, and multi-modal data.
Understand the concept of adversarial machine learning, and how to make a neural network robust to adversarial attacks.
Understand the fundamentals of graph convolutional neural networks and how they can be used to process graph datasets.
Understand the functioning of a generative AI models, such as the generative adversarial neural network models and simple diffusion models.
Understand and apply advanced concepts like Explainable AI (XAI) and reinforcement learning (RL).
Understand the functioning and applications of multi-modal neural networks such as LLMs and ChatGPT.","By the end of this course, students will be able to:

Evaluate the suitability of deep learning models and loss functions for different prediction task types.
Compute the terms used in backpropagation for a given neural network topology.
Differentiate when to use different types of neural network layers (e.g. fully connected layers, convolutional layers, etc.) for a given model.
Create code for custom datasets for image and text data.
Create code for neural networks for vision and sequence classification.
Analyze the degree of overfitting by comparing different pairs of train/test loss curves.
Implement data augmentation methods and transfer learning in code and evaluate their impact on performance.
Produce sample code for simple transformers, graph convolutional neural networks, and generative deep neural networks and explain some possible use cases for each.
Create code for simple Reinforcement Learning applications and see how they relate to Deep Learning.
Understand how advanced models, such as LLMs and ChatGPT, reuse and combine all the notions introduced in this course.","This course will cover a range of topics including, but not limited to:

Introduction to Deep Learning, linking to the contents of the Machine Learning course
Supervised learning with neural networks
Understanding the neural networks architecture
Optimizing and training a neural network
Convolutional neural networks for Computer Vision
Recurrent neural networks for sequential data, and Natural Language Programming
Data Augmentation
Transfer Learning
Adversarial Machine Learning on Neural Networks
Graph Convolutional Neural Networks for graph datasets
Generative Neural Networks, such as AutoEncoders, Generative Adversarial Networks and Diffusion models
Explainable AI
Fundamentals of reinforcement learning and their uses in Deep Learning","The following resources will be integral to this course:

“Deep Learning” by Ian Goodfellow, Yoshua Bengio, and Aaron Courville. Available at http://www.deeplearningbook.org/
“Deep Learning with Python” by François Chollet. Available at https://www.manning.com/books/deep-learning-with-python
Additional reading materials and videos will be shared during the course duration.",,,"6,8",12,Matthieu De Mari,Elective
50.040,Natural Language Processing,"Natural Language Processing (NLP) is an important area within the general field of Artificial Intelligence (AI). Modern NLP models focus on using machine learning algorithms for solving various text processing problems. This course covers fundamental topics within the domain of NLP, including word representations, language modelling, sequence-to-sequence models, attention, and transformer architectures. Students will also explore advanced methods in the modern paradigm of large language models (LLMs), such as pre-training, fine-tuning, and efficient adaptation strategies. The course emphasizes both fundamental algorithms and state-of-the-art techniques. Students will gain hands-on experience in implementing fundamental algorithms and experimenting with advanced deep learning–based NLP techniques, culminating in projects that explore real-world applications of LLMs.",50.007 OR 40.319,,"By the end of the course, students will be able to

Explain the fundamental tasks within NLP
Explain possible algorithms as solutions to NLP tasks
Implement the algorithms used for various NLP tasks
Design novel algorithms for solving new NLP tasks, and use existing NLP technologies for solving real problems","Explain the major tasks within NLP that involve supervised structured prediction
Explain the major tasks within NLP that involve unsupervised learning
Apply the relevant models that need to be used for each task
Apply the major guiding principles when choosing a model for a specific task within NLP
Decide when to and when not to use neural network based or deep learning methods for a specific task within NLP
Design and implement fundamental algorithms used for various NLP tasks
Analyse the time complexity involved for a specific NLP algorithm
Evaluate the performance of an NLP model based on certain evaluation metrics on standard datasets","Introduction to NLP Tasks
Recap on Machine Learning & Neural Networks
Word Vectors
Language Models & RNNs
Seq2Seq Models & Attention
Transformer Models
Pre-training
Post-training (SFT/RLHF)
Efficient Adaptation (Prompting/LoRA)
Benchmarking & Evaluation
LLM Agents
Advanced Topics (e.g., multilinguality)","Required to read some relevant chapters from:

Dan Jurafsky and James H. Martin, Speech and Language Processing (3rd ed. draft), Aug 24 2025 release version
Yoav Goldberg, Neural Network Methods for Natural Language Processing, 2017",,,7,12,Zhang WenXuan,Elective
50.041,Distributed Systems and Computing,"This course introduces fundamental concepts for designing and implementing large‐scale distributed systems. The course will not only focus on the design aspects of distributed systems, but will also focus on the fundamental principles to ensure the correctness in a distributed environment. We will apply the concepts via hands on assignments using GO programming language. The course will also deep dive into specific concepts of distributed systems e.g. designing distributed file systems (such as in Google File Systems) to accommodate arbitrarily many application‐level users. Finally, we will discuss concepts on recovering from faults (both normal and byzantine) in a distributed system.",50.004,,"Design and implement a distributed system from scratch.
Apply key ideas to maintain the correctness in distributed systems.
Learning techniques to design and develop massively parallel systems using GO programming language.
Learning techniques to design and implement a distributed file system.
Learning and applying techniques to recover from faults in distributed systems.","Build models of distributed systems [LO 1].
Prototype distributed software systems [LO 1,2,3,4,5].
Build distributed algorithms using industry-strength programming language [LO 3].
Build algorithms to analyse the correctness of distributed systems [LO 2].
Prototype software and systems to manage files and records in a distributed environment [LO 4].
Build algorithms to analyse and test possible faults in distributed systems [LO 1, 5].
Build techniques to recover from faults in distributed systems [LO 5].
Build techniques at the level of supervisory software to support distributed applications [LO 1,4,5].","Introduction, Clocks, Election
Clocks and Election
Distributed Mutual Exclusion
Consistency Model
Distributed File Systems
Fault Tolerance 1
Fault Tolerance 2
Byzantine Faults","Recommended Book
Andrew S. Tanenbaum and Maarten Van Steen. Distributed Systems ‐ Principles and Paradigm. Pearson International Edition (Chapters 6, 7, 8, 11 and 13).

 

Programming Language
GO programming language will be used: https://golang.org/

 

There is no fixed textbook or fixed set of literature that cover all the materials of the course. The course materials will be designed from a set of selected literature, especially during the later half of the course.",,,8,12,,Elective
50.042,Foundations of Cybersecurity,"This course provides students with a basic appreciation and understanding of the core concepts of information security. Topics to be covered include concepts for confidentiality, integrity and availability; introduction to cybercrimes and security issues; threats to information systems and devices; cryptographic primitives such as symmetric and asymmetric cryptography; core problems such as random number generation, entropy, and key distribution; and common topics such as security protocols and public‐key infrastructures.",,50.005,"List basic security solutions and models; explain concepts for confidentiality, integrity and availability.
Apply protocols used for key establishment, encryption, and authentication to secure a system.
Apply known attacks to vulnerable cryptographic primitives.
Model, analyse, and apply cryptographic primitives used for encryption, secure hashing, and digital signatures.
Evaluate the security of existing system designs respect to different attacker models.","Evaluate security models like CIA model (confidentiality, integrity, availability) by defining and assessing security level for an existing system in a design project
Perform attacks related to block ciphers in Electronic‐Codebook mode, through successful retrieval of partial or full information related to the plaintext or key used, and
show the outcome of the attacks.
Implement a scheme for pre‐image recovery of hashes through brute force and hybrid attacks for hash related password authentication systems.
Apply substitution ciphers, One‐time‐pads, and AES in real‐life applications to prevent sensitive data exposure and thus preserve the confidentiality of secret data.
Analyse network logs , based on that, implement potential attacks on schemes for encryption, authentication, key establishment and digital signatures, through a challenge design and solving project.","Introduction
Hash Functions
Password and Rainbow Tables
Applications for Hashing
Block Ciphers
Modular Arithmetics
Key Establishment
Public Key Crypto
Digital Signatures
Security Protocols
Side Channel Attacks
Security Policy
Information Flow
Distributed Systems","The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography
Understanding Cryptography: a Textbook for Students and Practitioners;
Cryptography engineering",,,5,12,Felix Loh,Elective
50.043,Database Systems,"Database systems manage data which is at the heart of modern computing applications. We are in the era of big data, in which data is generated from many sources, in high velocity and with great variety. This poses numerous challenges in using and improving database technologies. Big data systems designed to support analytics are maturing and are becoming increasingly important to many applications.

 

This course covers the fundamentals of traditional databases, such as Oracle and MySQL, and core ideas of recent big data systems. Students will learn important problems in data management that these systems are designed to solve. They will experience with building applications on top of traditional databases, namely SQLite, and state‐of‐the‐art big data platforms, namely MongoDB and Apache Spark. These systems will be running both locally and on the Amazon cloud (Amazon Web Service). The students will be able to determine for themselves the advantages and disadvantages of different systems.","50.004,
10.025",50.005,"Design and implement a database application on top of a relational database management systems (RDBMS).
Identify major components of database and big data systems.
Estimate the costs of different database operations.
Explain how state‐of‐the‐art big data systems differ to one another.
Implement a cloud‐based big data application.
Explain how database and big data systems fit together in real‐world applications.
Use cloud‐based systems.","Develop a database design for an application.
List and explain major components of database and big data systems.
Write complex SQL queries.
Estimate cost of different database operations.
Compare different classes of big data systems.
Write MapReduce and Spark jobs.
Explain how a database differs to a big data system.
Design, implement, and deploy database and big data systems on AWS.","Database systems internal
Relational model
ER to Relational Model
Relational Algebra
SQL
Functional Dependency
DB normalization
Data Storage
Indexing
Query evaluation
Query optimization
Transaction Management
Big data systems architecture
AWS
HDFS
Spark","Abraham Siberschatz, Henry Korth, S Sudarshan. Database System Concepts, 6th edition.
Johannes Gehrke, Raghu Ramakrishnan. Database Management Systems, 3rd edition.
Thomas Erl. Big Data Fundamentals: Concepts, Drivers & Techniques. 2016.
Armbrust et al. “Above the clouds: A Berkeley View of Cloud Computing”. EECS Technical Report. 2009.",,,"5,6,8",12,"Qin Yanxia,
Roy Lee,
Zhang Wenxuan",Elective
50.044,System Secuity,"This course covers the security of users, individual computer systems, including personal computers, smart cards and embedded platforms. The course starts with considerations of common security flaws in a computer system, security of widely used computer platforms and user authentication. Then, topics such as physical‐layer attacks and tamper resistant hardware are discussed. Finally, the course ends with a set of selected security topics like biometrics, computer forensics, and Bitcoin.",50.042,,"Define security objectives for a given computer system based on problem setting and requirements
Explain how computer systems are compromised
Learn how to defend against common attacks to various computer systems
Apply basic security design principles to a secure computer system design and implementation","Identify the security objectives of a computer system by defining and assessing the security level of an existing computer system properly and comprehensively, through a design project
Demonstrate ability to apply and analyse common attacks on various computer systems, through successfully compromising a computer system in a laboratory environment
Analyze and apply defensive technology and software to defend various computer systems, by demonstrating security level improvement of existing vulnerable computer systems
Demonstrate mastery of applying system security design principles and best practices by interpreting the process of securing a computer system in a design projectvvvv","Introduction
Memory safety attacks
Defenses for memory safety
Authentication
Privilege Separation
Isolation
Hardware Security
Mobile Security
Web Security
Secure Channels
Secure Messaging","Ross Anderson, Security Engineering, John Wiley & Sons, 2001
Michael T. Goodrich and Roberto Tamassia, Introduction to Computer Security, 2011",,,"6,8",12,Daisuke Mashima,Elective
50.045,Information Retrieval,"This course will not be offered in Fall 2025.

 

Automatic methods of Information Retrieval (IR) have gained greater significance in recent years due to the dramatic increase in the amount of data available on the Web. The data is often present in multiple forms (such as text, image, video) and hence it is necessary that the IR techniques being deployed on the web are able to perform various operations such as search and retrieval across all these different data formats. In this course, the study of IR will be focused on the methodologies of indexing, processing, and querying of primary textual data and will be extended to video and image data in the latter part of the course.","50.007 Machine Learning or
50.021 Artificial Intelligence or
50.038 Computational Data Science or
50.039 Theory and Practice of Deep Learning",,"Gain knowledge about the basic concepts and techniques of IR.
Understand the basic functionality and underlying algorithms of an IR system.
Understand modern neural networks and deep learning-based techniques that are used in today’s IR systems.
Learn about several applications of e.g., question answering, image, and video retrieval.
Learn how to develop a basic IR system from scratch and evaluate the system.
Learn clarification, clustering, topic modelling which are the core modules in an IR system.","Identifying important concepts of Information Retrieval.
Learn vector space modelling, modern deep learning techniques for IR and evaluation methods. Finally, utilize this knowledge to complete the project.
Evaluate the performance of different IR models using empirical benchmarks.
Implement different IR applications such as Question Answering, Image and Video Retrieval systems.
Able to use libraries such as Sklearn, Keras for data processing and IR model creation.
Mathematically explain common neural network-based models, word2vec and Glove distributed word representations for IR system building.","Boolean retrieval and VSM
Word Embeddings
Probabilistic IR and Relevance Feedback, BM-25
Introduction to Neural Networks
Text Processing and Classification using Neural Networks.
Language Modelling — Transformers, BERT, RoBERTa
IR using Language Modelling
Question Answering
Personalisation
Image Retrieval
Large Language Models.
Language Models for Information Retrieval e.g., how do we leverage ChatGPT for Information Retrieval
Question Answering and its utilisation in Information Retrieval","Introduction to Information Retrieval, by Christopher Manning, Prabhakar Raghavan, and Hinrich Schutze.
http://nlp.stanford.edu/IR-book/html/htmledition/irbook.html",,,,12,,Elective
50.046,Cloud Computing and Internet of Things,"The Internet of Things and its integration with cloud computing are transforming our world in a fundamental way. This course teaches some of the essential IoT and cloud computing technologies from the ground up. Specific topics covered include IoT devices programming (ESP32), sensing technologies, IoT protocols (MQTT and CoAP), accessing and using cloud-based services, and the virtualization technologies behind cloud computing (virtual machines and containers). Students will learn how to design, develop, and deploy end-to-end cloud-based IoT applications, and to understand the fundamental technologies behind cloud computing.",50.005,,"To understand the related architecture designs and technologies of cloud computing
To explain the overall architecture and key design principles of IoT systems, including both functional and non-functional aspects
To design cloud-based IoT applications using proper cloud services
To gain hands-on experience in key technologies for developing an IoT system, including sensor selection / interfacing, embedded system programming, use of suitable network protocols, and various cloud services (compute, storage, data analytics, management)
To gain design experience in solving a real-world problem using IoT and cloud technologies
To gain both the experience and confidence in learning a new IoT technology independently","List the functions of different IoT and cloud computing components
Use various sensors, embedded device libraries, IoT protocols, and cloud services
Develop skills in systematic testing and debugging
Work in a team to formulate a real-world problem that can be solved using IoT and cloud technologies, including design objectives, challenges, and constraints
Apply suitable IoT and cloud technologies to develop a proof-of-concept system, and present the solution in the class with explanation of its key design considerations
Apply new cloud services or sensors if relevant to the project","Sensors
Embedded systems and RTOS
Wireless networking for IoT
Edge computing
Accessing Cloud and using AWS services
Virtual machine using KVM
OpenStack
Containers using Docker","ESP-IDF Programming Guide
Agus Kurniawan, Learning AWS IoT, Packt Publishing, 2018
Assigned reading materials regarding KVM, OpenStack, and Docker
Peer reviewed research articles",,,7,12,Park Jihong,Elective
50.047,Mobile Robotics,"The mobile robotics course is an introductory course on intelligent robots and systems. It is a course at the intersection of machine learning, artificial intelligence, computer vision and control theory. The course will introduce fundamentals of developing systems which can sense, plan and act in the world based on various topics from the aforementioned domains. The emphasis will be on algorithm design, probabilistic reasoning, decision making under uncertainty and learning to improve behaviours using data.","10.020 Data Driven World, and
10.022 Modelling Uncertainty, and
50.001 Information Systems and Programming, and
50.004 Algorithms",,"Introduction: Basics of Linux, Robot Operating System, 3D Gazebo simulator, RViz robot visualizer.
Feedback Control and Planning: how can we compute the commands that can bring a robotic system from its current state to a desired state?
Mapping: how can we combine noisy measurements from sensors with the robot’s pose to build a map of the environment?
State Estimation and Localization: the state of the robot is not always directly measurable/observable. How can we determine the relative weights of multiple sensor measurements in order to form an accurate estimate of the (hidden) state?
Geometry of Computer Vision: how can modelling pixel projections on an RGB camera help us infer the 3D structure of the world? How can we triangulate points seen from two cameras? How can we estimate the camera’s pose (and therefore the robot’s) while it is moving in the environment?","Learn and implement algorithms through lectures and tutorial sessions.
Learn and implement state-of-the-art software development tools through lectures and tutorial sessions.
Develop and practice hands-on learning from lectures and tutorial sessions to solve real-world problems on virtual and physical robotic platforms.
Develop critical thinking and problem-solving skills through instructed lectures and tutorial sessions.","Sensors and Actuators
Kinematics
Dynamics
Modelling and Control
Planning
Map Representations and Map Alignment
Occupancy Grid Mapping with Known Robot Poses
Bayesian Estimation
Kalman Filter
Particle Fiter
Robot Vision
Visual Odemetry and Visual SLAM
Planning under Uncertainty","No required textbooks as notes will be provided. For further reading, we recommend

Probabilistic Robotics, by Thrun, Fox, and Burgard (PR in the outline)
Computational Principles of Mobile Robotics, 2nd edition, by Dudek and Jenkin
Planning Algorithms, by Lavalle
Robotics, Vision, and Control, by Corke
Introduction to Autonomous Mobile Robots, by Siegwart, Nourbakhsh, Scaramuzza",,,7,12,Malika Meghjani,Elective
